Reach,Dist,Date,Mg_ppb,Si_ppb,Ca_ppb,Fe_ppb
Beast,200,9/10/21,"1,553.80","4,142.50","2,652.40",109
Beast,300,9/10/21,,,,
Beast,400,9/10/21,,,,
Beast,500,9/10/21,"1,350","4,237.20","2,157.40",55.7
Beast,600,9/10/21,,,,
Beast,700,9/10/21,,,,
Beast,800,9/10/21,"1,166.20","4,313.20","1,707",57.5
Beast,900,9/10/21,,,,
Beast,1000,9/10/21,"3,027.70","6,034.80","8,570.80",42.5
Beast,1100,9/10/21,,,,
Beast,1200,9/10/21,,,,
Beast,1300,9/10/21,"1,408.80","4,459","2,487.50",176.3
MDH,0,9/10/21,"2,019.70","4,819.90","2,266.90",-1.9
MDH,100,9/10/21,"2,368.50","5,172.60","2,760.60",30.9
MDH,200,9/10/21,"2,695.30","5,334.40","3,342.90",127
MDH,300,9/10/21,"2,929.60","5,158.50","3,818",18.1
MDH,400,9/10/21,"2,445.20","5,519.40","3,220.90",11.5
MDH,500,9/10/21,"2,781.10","6,238.10","3,908.20",13.3
MDH,600,9/10/21,,,,
MDH,700,9/10/21,"2,078.40","5,334.40","2,790.50",7.8
MDH,800,9/10/21,"3,130.30","5,526.50","4,595.80",10.7
MDH,900,9/10/21,"4,286.90","5,982.50","7,356.10",5.5
MDH,1000,9/10/21,"1,898.70","4,765.30","2,772.80",16
MDH,1100,9/10/21,,,,
MDH,1200,9/10/21,"5,282.50","5,134.10","8,466.20",18.9
MDH,1300,9/10/21,,,,
MDH,1400,9/10/21,,,,
